watersupply,population,waterload,time,area
73.6,648,8.8,2011/1/1,宁夏回族自治区
523.5,2225,885.7,2011/1/1,新疆维吾尔自治区
35.2,1962,23.1,2010/1/1,北京市
22.5,1299,9.2,2010/1/1,天津市
193.7,7194,138.9,2010/1/1,河北省
63.8,3574,91.5,2010/1/1,山西省
181.9,2472,388.5,2010/1/1,内蒙古自治区
143.7,4375,606.7,2010/1/1,辽宁省
120,2747,686.7,2010/1/1,吉林省
325,3833,853.5,2010/1/1,黑龙江省
126.3,2303,36.8,2010/1/1,上海市
552.2,7869,383.5,2010/1/1,江苏省
203,5447,1398.6,2010/1/1,浙江省
293.1,5957,922.8,2010/1/1,安徽省
202.5,3693,1652.7,2010/1/1,福建省
239.7,4462,2275.5,2010/1/1,江西省
222.5,9588,309.1,2010/1/1,山东省
224.6,9405,534.9,2010/1/1,河南省
288,5728,1268.7,2010/1/1,湖北省
325.2,6570,1906.6,2010/1/1,湖南省
469,10441,1998.8,2010/1/1,广东省
301.6,4610,1823.6,2010/1/1,广西壮族自治区
44.4,869,479.8,2010/1/1,海南省
86.4,2885,464.3,2010/1/1,重庆市
230.3,8045,2575.3,2010/1/1,四川省
101.4,3479,956.5,2010/1/1,贵州省
147.5,4602,1941.4,2010/1/1,云南省
35.2,300,4593,2010/1/1,西藏自治区
83.4,3735,507.5,2010/1/1,陕西省
121.8,2560,215.2,2010/1/1,甘肃省
30.8,563,741.1,2010/1/1,青海省
72.4,633,9.3,2010/1/1,宁夏回族自治区
535.1,2185,1113.1,2010/1/1,新疆维吾尔自治区
35.5,1860,21.8,2009/1/1,北京市
23.4,1228,15.2,2009/1/1,天津市
193.7,7034,141.2,2009/1/1,河北省
56.3,3427,85.8,2009/1/1,山西省
181.3,2458,378.1,2009/1/1,内蒙古自治区
142.8,4341,171,2009/1/1,辽宁省
111.1,2740,298,2009/1/1,吉林省
316.3,3826,989.6,2009/1/1,黑龙江省
125.2,2210,41.6,2009/1/1,上海市
549.2,7810,400.3,2009/1/1,江苏省
197.8,5276,931.3,2009/1/1,浙江省
291.9,6131,733.1,2009/1/1,安徽省
201.4,3666,800.8,2009/1/1,福建省
241.3,4432,1166.9,2009/1/1,江西省
220,9470,285,2009/1/1,山东省
233.7,9487,328.8,2009/1/1,河南省
281.4,5720,825.3,2009/1/1,湖北省
322.3,6406,1400.5,2009/1/1,湖南省
463.4,10130,1613.7,2009/1/1,广东省
303.4,4856,1484.3,2009/1/1,广西壮族自治区
44.5,864,480.7,2009/1/1,海南省
85.3,2859,455.9,2009/1/1,重庆市
223.5,8185,2332.2,2009/1/1,四川省
100.4,3537,910,2009/1/1,贵州省
152.6,4571,1576.6,2009/1/1,云南省
30.9,296,4029.2,2009/1/1,西藏自治区
84.3,3727,416.5,2009/1/1,陕西省
120.6,2555,209,2009/1/1,甘肃省
28.8,557,895.1,2009/1/1,青海省
72.2,625,8.4,2009/1/1,宁夏回族自治区
530.9,2159,754.3,2009/1/1,新疆维吾尔自治区
35.1,1771,34.2,2008/1/1,北京市
22.3,1176,18.3,2008/1/1,天津市
195,6989,161,2008/1/1,河北省
56.9,3411,87.4,2008/1/1,山西省
175.8,2444,412.1,2008/1/1,内蒙古自治区
142.8,4315,266,2008/1/1,辽宁省
104.1,2734,332,2008/1/1,吉林省
297,3825,462,2008/1/1,黑龙江省
119.8,2141,37,2008/1/1,上海市
558.3,7762,378,2008/1/1,江苏省
216.6,5212,855.2,2008/1/1,浙江省
266.4,6135,699.3,2008/1/1,安徽省
198,3639,1036.9,2008/1/1,福建省
234.2,4400,1356.2,2008/1/1,江西省
219.9,9417,328.7,2008/1/1,山东省
227.5,9429,371.3,2008/1/1,河南省
270.7,5711,1033.9,2008/1/1,湖北省
323.6,6380,1600,2008/1/1,湖南省
461.5,9893,2206.8,2008/1/1,广东省
310.1,4816,2282.5,2008/1/1,广西壮族自治区
46.9,854,419.1,2008/1/1,海南省
82.8,2839,576.9,2008/1/1,重庆市
207.6,8138,2489.9,2008/1/1,四川省
101.9,3596,1140.7,2008/1/1,贵州省
153.1,4543,2314.5,2008/1/1,云南省
37.5,292,4560.2,2008/1/1,西藏自治区
85.5,3718,304,2008/1/1,陕西省
122.2,2551,187.5,2008/1/1,甘肃省
34.4,554,658.1,2008/1/1,青海省
74.2,618,9.2,2008/1/1,宁夏回族自治区
528.2,2131,815.6,2008/1/1,新疆维吾尔自治区
34.8,1676,23.8,2007/1/1,北京市
23.4,1115,11.3,2007/1/1,天津市
202.5,6943,119.8,2007/1/1,河北省
58.7,3393,103.4,2007/1/1,山西省
180,2429,295.9,2007/1/1,内蒙古自治区
142.9,4298,261.7,2007/1/1,辽宁省
100.8,2730,346,2007/1/1,吉林省
291.4,3824,491.8,2007/1/1,黑龙江省
120.2,2064,34.5,2007/1/1,上海市
558.3,7723,495.7,2007/1/1,江苏省
211,5155,892.1,2007/1/1,浙江省
232.1,6118,712.5,2007/1/1,安徽省
196.3,3612,1072.9,2007/1/1,福建省
234.9,4368,1113,2007/1/1,江西省
219.5,9367,387.1,2007/1/1,山东省
209.3,9360,465.2,2007/1/1,河南省
258.7,5699,1015.1,2007/1/1,湖北省
324.3,6355,1426.5,2007/1/1,湖南省
462.5,9660,1581.2,2007/1/1,广东省
310.4,4768,1386.3,2007/1/1,广西壮族自治区
46.7,845,283.5,2007/1/1,海南省
77.4,2816,663,2007/1/1,重庆市
214,8127,2299.8,2007/1/1,四川省
98,3632,1054.6,2007/1/1,贵州省
150,4514,2255.5,2007/1/1,云南省
36.7,289,4321.4,2007/1/1,西藏自治区
81.5,3708,377,2007/1/1,陕西省
122.5,2548,228.7,2007/1/1,甘肃省
31.1,552,661.6,2007/1/1,青海省
71,610,10.4,2007/1/1,宁夏回族自治区
517.7,2095,863.8,2007/1/1,新疆维吾尔自治区
34.3,1601,22.1,2006/1/1,北京市
23,1075,10.1,2006/1/1,天津市
204,6898,107.3,2006/1/1,河北省
59.3,3375,88.5,2006/1/1,山西省
