chazhi,watersupply,population,waterload,time,area
-4557.8,31.1,340,4642.2,2016/1/1,西藏自治区
-424.1,90.8,3874,271.5,2016/1/1,陕西省
-93.4,118.4,2520,168.4,2016/1/1,甘肃省
-710.3,26.4,582,612.7,2016/1/1,青海省
63.1,64.9,695,9.6,2016/1/1,宁夏回族自治区
-578,565.4,2428,1093.4,2016/1/1,新疆维吾尔自治区
9.2,38.2,2188,26.8,2015/1/1,北京市
7.7,25.7,1439,12.8,2015/1/1,天津市
38.8,187.2,7345,135.1,2015/1/1,河北省
-50.1,73.6,3519,94,2015/1/1,山西省
-234.3,185.8,2440,537,2015/1/1,内蒙古自治区
-150.3,140.8,4338,179,2015/1/1,辽宁省
-184.7,133.6,2613,331.3,2015/1/1,吉林省
-277.1,355.3,3529,814.1,2015/1/1,黑龙江省
103.8,103.8,2458,64.1,2015/1/1,上海市
63.8,574.5,8315,582.1,2015/1/1,江苏省
-546.5,186.1,5985,1407.1,2015/1/1,浙江省
-307.7,288.7,6011,914.1,2015/1/1,安徽省
-566.1,201.3,3984,1325.9,2015/1/1,福建省
-775,245.8,4485,2001.2,2015/1/1,江西省
-123.5,212.8,9866,168.4,2015/1/1,山东省
-98.9,222.8,9701,287.2,2015/1/1,河南省
-460.8,301.3,5850,1015.6,2015/1/1,湖北省
-800.4,330.4,6615,1919.3,2015/1/1,湖南省
-1007.1,443.1,11678,1933.4,2015/1/1,广东省
-1048.2,299.3,4811,2433.6,2015/1/1,广西壮族自治区
-439.6,45.8,945,198.2,2015/1/1,海南省
-427.8,79,3070,456.2,2015/1/1,重庆市
-2006,265.5,8196,2220.5,2015/1/1,四川省
-530.1,97.5,3708,1153.7,2015/1/1,贵州省
-1333.4,150.1,4663,1871.9,2015/1/1,云南省
-4371.7,30.8,330,3853,2015/1/1,西藏自治区
-516.6,91.2,3846,333.4,2015/1/1,陕西省
-119.3,119.2,2523,164.8,2015/1/1,甘肃省
-701.9,26.8,577,589.3,2015/1/1,青海省
64.8,70.4,684,9.2,2015/1/1,宁夏回族自治区
-362.2,577.2,2385,930.3,2015/1/1,新疆维吾尔自治区
-3.6,37.5,2171,20.3,2014/1/1,北京市
-9.8,24.1,1429,11.4,2014/1/1,天津市
-40.2,192.8,7323,106.2,2014/1/1,河北省
-32.8,71.4,3528,111,2014/1/1,山西省
-325.9,182,2449,537.8,2014/1/1,内蒙古自治区
-405.1,141.8,4358,145.9,2014/1/1,辽宁省
-330.7,133,2642,306,2014/1/1,吉林省
-482.5,364.1,3608,944.3,2014/1/1,黑龙江省
82.1,105.9,2467,47.1,2014/1/1,上海市
178.9,591.3,8281,399.3,2014/1/1,江苏省
-1246.7,192.9,5890,1132.1,2014/1/1,浙江省
-408.4,272.1,5997,778.5,2014/1/1,安徽省
-1311.3,205.6,3945,1219.6,2014/1/1,福建省
-1931.9,259.3,4480,1631.8,2014/1/1,江西省
-52.5,214.5,9808,148.4,2014/1/1,山东省
-26.9,209.3,9645,283.4,2014/1/1,河南省
-514.6,288.3,5816,914.3,2014/1/1,湖北省
-1660.1,332.4,6611,1799.4,2014/1/1,湖南省
-1575.5,442.5,11489,1718.4,2014/1/1,广东省
-1784.4,307.6,4770,1990.9,2014/1/1,广西壮族自治区
-319,45,936,383.5,2014/1/1,海南省
-394,80.5,3043,642.6,2014/1/1,重庆市
-2646.5,236.9,8139,2557.7,2014/1/1,四川省
-873.2,95.3,3677,1213.1,2014/1/1,贵州省
-1538,149.4,4653,1726.6,2014/1/1,云南省
-4166.6,30.5,325,4416.3,2014/1/1,西藏自治区
-302.5,89.8,3827,351.6,2014/1/1,陕西省
-143.9,120.6,2531,198.4,2014/1/1,甘肃省
-867.8,26.3,576,793.9,2014/1/1,青海省
58.6,70.3,678,10.1,2014/1/1,宁夏回族自治区
-310.5,581.8,2325,726.9,2014/1/1,新疆维吾尔自治区
11.6,36.4,2125,24.8,2013/1/1,北京市
9.2,23.8,1410,14.6,2013/1/1,天津市
15.4,191.3,7288,175.9,2013/1/1,河北省
-52.8,73.8,3535,126.6,2013/1/1,山西省
-776.6,183.2,2455,959.8,2013/1/1,内蒙古自治区
-321.1,142.1,4365,463.2,2013/1/1,辽宁省
-475.9,131.5,2668,607.4,2013/1/1,吉林省
-1057.3,362.3,3666,1419.6,2013/1/1,黑龙江省
95.2,123.2,2448,28,2013/1/1,上海市
293.2,576.7,8192,283.5,2013/1/1,江苏省
-733,198.3,5784,931.3,2013/1/1,浙江省
-289.6,296,5988,585.6,2013/1/1,安徽省
-947.1,204.8,3885,1151.9,2013/1/1,福建省
-1159.2,264.8,4476,1424,2013/1/1,江西省
-73.8,217.9,9746,291.7,2013/1/1,山东省
27.5,240.6,9573,213.1,2013/1/1,河南省
-498.3,291.8,5798,790.1,2013/1/1,湖北省
-1249.5,332.5,6600,1582,2013/1/1,湖南省
-1820,443.2,11270,2263.2,2013/1/1,广东省
-1749.1,308.2,4731,2057.3,2013/1/1,广西壮族自治区
-458.9,43.2,920,502.1,2013/1/1,海南省
-390.4,83.9,3011,474.3,2013/1/1,重庆市
-2227.8,242.5,8109,2470.3,2013/1/1,四川省
-667.4,92,3632,759.4,2013/1/1,贵州省
-1557,149.7,4641,1706.7,2013/1/1,云南省
-4385.4,30.3,317,4415.7,2013/1/1,西藏自治区
-264.6,89.2,3804,353.8,2013/1/1,陕西省
-146.9,122,2537,268.9,2013/1/1,甘肃省
-617.4,28.2,571,645.6,2013/1/1,青海省
60.7,72.1,666,11.4,2013/1/1,宁夏回族自治区
-368,588,2285,956,2013/1/1,新疆维吾尔自治区
